run_name,run_id,state,created_at,url,bias,seed,device,min_lr,n_embd,n_head,dropout,n_layer,n_params,grad_clip,max_iters,norm_type,wandb_log,batch_size,block_size,eval_iters,vocab_size,linear_type,log_interval,pos_encoding,warmup_iters,weight_decay,eval_interval,learning_rate,residual_type,wandb_project,lr_decay_iters,norm_placement,activation_type,Sample Generation,_runtime,_step,_timestamp,_wandb,iter,lr,train/loss,train/step_loss,val/loss,training_time_sec
baseline,cpc0g0we,finished,2026-05-24T10:32:26Z,https://wandb.ai/madhavkrishnan747-australian-national-university/nanogpt-ablations/runs/cpc0g0we,False,3242,cuda,0.0001,384,6,0.2,6,10745088,1,5000,layernorm,True,64,256,200,65,standard,10,learned,100,0.1,250,0.001,standard,nanogpt-ablations,5000,pre,gelu,"{'_type': 'html-file', 'path': 'media/html/Sample Generation_522_2c00942294c1ec6ed4ec.html', 'sha256': '2c00942294c1ec6ed4ecf5b2a285abfe5e1b65839ecc99cf50cfa0d73c608aee', 'size': 274}",687,522,1779619433.7410836,{'runtime': 687},5000,0.0001,0.6322678923606873,0.8313280344009399,1.6883337497711182,687
A1_no_pos_encoding,et6cq3h8,finished,2026-05-24T10:43:56Z,https://wandb.ai/madhavkrishnan747-australian-national-university/nanogpt-ablations/runs/et6cq3h8,False,3242,cuda,0.0001,384,6,0.2,6,10646784,1,5000,layernorm,True,64,256,200,65,standard,10,none,100,0.1,250,0.001,standard,nanogpt-ablations,5000,pre,gelu,"{'_type': 'html-file', 'path': 'media/html/Sample Generation_522_b579e87fbdbbd07acf66.html', 'sha256': 'b579e87fbdbbd07acf66595be8ccddee72d1425fe95a907deed047e00ffd4c6d', 'size': 276}",688,522,1779620125.8206527,{'runtime': 688},5000,0.0001,1.1110336780548096,1.1241121292114258,1.5963112115859983,688
A2_rope,f1hcag99,finished,2026-05-24T10:55:28Z,https://wandb.ai/madhavkrishnan747-australian-national-university/nanogpt-ablations/runs/f1hcag99,False,3242,cuda,0.0001,384,6,0.2,6,10646784,1,5000,layernorm,True,64,256,200,65,standard,10,rope,100,0.1,250,0.001,standard,nanogpt-ablations,5000,pre,gelu,"{'_type': 'html-file', 'path': 'media/html/Sample Generation_522_b1e126ee7d256b09ee87.html', 'sha256': 'b1e126ee7d256b09ee87d15c0c6a3061076390427c2216cf08909123dc27c277', 'size': 275}",839,522,1779620968.4927568,{'runtime': 839},5000,0.0001,0.551831066608429,0.7763036489486694,1.7351211309432983,839
A3_alibi,kyg1ahnh,finished,2026-05-24T11:09:31Z,https://wandb.ai/madhavkrishnan747-australian-national-university/nanogpt-ablations/runs/kyg1ahnh,False,3242,cuda,0.0001,384,6,0.2,6,10646784,1,5000,layernorm,True,64,256,200,65,standard,10,alibi,100,0.1,250,0.001,standard,nanogpt-ablations,5000,pre,gelu,"{'_type': 'html-file', 'path': 'media/html/Sample Generation_522_23b11b7f440614a771b2.html', 'sha256': '23b11b7f440614a771b26fc64a3f8d7428ee31fba0988fc026d9f5ad5ac385cf', 'size': 273}",1292,522,1779622263.8838322,{'runtime': 1292},5000,0.0001,0.5317318439483643,0.7778551578521729,1.8112096786499023,1292
B1_rmsnorm,1wotqmtu,finished,2026-05-24T11:31:06Z,https://wandb.ai/madhavkrishnan747-australian-national-university/nanogpt-ablations/runs/1wotqmtu,False,3242,cuda,0.0001,384,6,0.2,6,10745088,1,5000,rmsnorm,True,64,256,200,65,standard,10,learned,100,0.1,250,0.001,standard,nanogpt-ablations,5000,pre,gelu,"{'_type': 'html-file', 'path': 'media/html/Sample Generation_522_35b89e30c8faa3cc2211.html', 'sha256': '35b89e30c8faa3cc22115a9d043e3868a83d74886fc72c9e08fc2a821f3fe89d', 'size': 275}",875,522,1779623142.4629383,{'runtime': 875},5000,0.0001,0.6276839971542358,0.8246670961380005,1.698805809020996,875
B2_post_ln,1qjwf3pi,finished,2026-05-24T11:45:45Z,https://wandb.ai/madhavkrishnan747-australian-national-university/nanogpt-ablations/runs/1qjwf3pi,False,3242,cuda,0.0001,384,6,0.2,6,10745088,1,5000,layernorm,True,64,256,200,65,standard,10,learned,100,0.1,250,0.001,standard,nanogpt-ablations,5000,post,gelu,"{'_type': 'html-file', 'path': 'media/html/Sample Generation_522_4a84a204fe8d97115e26.html', 'sha256': '4a84a204fe8d97115e26af2bbe9361c6adf3eb8b7eeae88d6d33826b38972e0d', 'size': 279}",678,522,1779623824.5470915,{'runtime': 678},5000,0.0001,0.8363053202629089,0.9853889346122742,1.5786093473434448,678
C1_1_head,hf9s97ue,finished,2026-05-24T11:57:07Z,https://wandb.ai/madhavkrishnan747-australian-national-university/nanogpt-ablations/runs/hf9s97ue,False,3242,cuda,0.0001,384,1,0.2,6,10745088,1,5000,layernorm,True,64,256,200,65,standard,10,learned,100,0.1,250,0.001,standard,nanogpt-ablations,5000,pre,gelu,"{'_type': 'html-file', 'path': 'media/html/Sample Generation_522_b4cd1cdc64d7008341f9.html', 'sha256': 'b4cd1cdc64d7008341f97e7f17ea96c0c62cb52dfb58cedc4b3b4efb39e31a2a', 'size': 272}",710,522,1779624538.0887165,{'runtime': 710},5000,0.0001,0.9012460112571716,1.0476540327072144,1.5208125114440918,710
C2_8_heads,fk58f1mb,finished,2026-05-24T12:09:03Z,https://wandb.ai/madhavkrishnan747-australian-national-university/nanogpt-ablations/runs/fk58f1mb,False,3242,cuda,0.0001,384,8,0.2,6,10745088,1,5000,layernorm,True,64,256,200,65,standard,10,learned,100,0.1,250,0.001,standard,nanogpt-ablations,5000,pre,gelu,"{'_type': 'html-file', 'path': 'media/html/Sample Generation_522_3980d66f71711b105e8c.html', 'sha256': '3980d66f71711b105e8c81a42c56c989f5cb2e28b9c518a2e1828dd0e36b7830', 'size': 271}",695,522,1779625240.4666734,{'runtime': 695},5000,0.0001,0.6274667382240295,0.8198261857032776,1.688595175743103,695
C3_12_heads,ldzl9or7,finished,2026-05-24T12:20:44Z,https://wandb.ai/madhavkrishnan747-australian-national-university/nanogpt-ablations/runs/ldzl9or7,False,3242,cuda,0.0001,384,12,0.2,6,10745088,1,5000,layernorm,True,64,256,200,65,standard,10,learned,100,0.1,250,0.001,standard,nanogpt-ablations,5000,pre,gelu,"{'_type': 'html-file', 'path': 'media/html/Sample Generation_522_b1ed217edb6106a2fbd7.html', 'sha256': 'b1ed217edb6106a2fbd78f57ff8d95094749e17506aa0ed45b304ee10849d140', 'size': 271}",705,522,1779625949.9915278,{'runtime': 705},5000,0.0001,0.6195580363273621,0.8185945153236389,1.7129621505737305,705
D1_relu,uqr8b9q8,finished,2026-05-24T12:32:39Z,https://wandb.ai/madhavkrishnan747-australian-national-university/nanogpt-ablations/runs/uqr8b9q8,False,3242,cuda,0.0001,384,6,0.2,6,10745088,1,5000,layernorm,True,64,256,200,65,standard,10,learned,100,0.1,250,0.001,standard,nanogpt-ablations,5000,pre,relu,"{'_type': 'html-file', 'path': 'media/html/Sample Generation_522_7949f0658a1ad257b379.html', 'sha256': '7949f0658a1ad257b379767048e7835c560165b9d512af6d7cf33599c1829022', 'size': 276}",679,522,1779626639.4495685,{'runtime': 679},5000,0.0001,0.737979531288147,0.8994301557540894,1.5950675010681152,679
